scenario,normal_game,ood_game,normal_game_C_ratio,ood_game_C_ratio,difference,se,z,p,significant with alpha: 0.01,significant with alpha: 0.05
team_prison,225,213,0.75,0.71,-0.040000000000000036,0.025,1.6000000000000014,0.054799291699557835,False,False
team_delight,223,227,0.7433333333333333,0.7566666666666667,0.01333333333333342,0.02521830610812239,-0.5287164520950508,0.29850108128474984,False,False
team_staghunt,221,212,0.7366666666666667,0.7066666666666667,-0.030000000000000027,0.025428913260885325,1.1797594215772458,0.11904795642176708,False,False
team_snowdrift,209,216,0.6966666666666667,0.72,0.023333333333333317,0.02654067458463344,-0.8791537403816739,0.1896589613634201,False,False
IR_prison,221,213,0.7366666666666667,0.71,-0.026666666666666727,0.025428913260885325,1.0486750414019979,0.14716385257364467,False,False
IR_delight,225,210,0.75,0.7,-0.050000000000000044,0.025,2.0000000000000018,0.0227501319481791,False,True
IR_staghunt,216,206,0.72,0.6866666666666666,-0.033333333333333326,0.02592296279363144,1.285861249684099,0.09924574478464582,False,False
IR_snowdrift,214,221,0.7133333333333334,0.7366666666666667,0.023333333333333317,0.02610803764417444,-0.8937222188562207,0.18573526714560895,False,False
friendsharing_prison,225,210,0.75,0.7,-0.050000000000000044,0.025,2.0000000000000018,0.0227501319481791,False,True
friendsharing_delight,236,221,0.7866666666666666,0.7366666666666667,-0.04999999999999993,0.023651795014489014,2.1140044537579534,0.01725744346231878,False,True
friendsharing_staghunt,214,231,0.7133333333333334,0.77,0.05666666666666664,0.02610803764417444,-2.1704682457936793,0.01498569583397586,False,True
friendsharing_snowdrift,228,229,0.76,0.7633333333333333,0.0033333333333332993,0.024657656011875907,-0.1351845176089674,0.4462329939400445,False,False
biz_prison,223,210,0.7433333333333333,0.7,-0.043333333333333335,0.02521830610812239,1.7183284693089043,0.0428683596927492,False,True
biz_delight,221,229,0.7366666666666667,0.7633333333333333,0.026666666666666616,0.025428913260885325,-1.0486750414019934,0.14716385257364567,False,False
biz_staghunt,214,190,0.7133333333333334,0.6333333333333333,-0.08000000000000007,0.02610803764417444,3.0641904646499043,0.0010912995284298023,True,True
biz_snowdrift,223,227,0.7433333333333333,0.7566666666666667,0.01333333333333342,0.02521830610812239,-0.5287164520950508,0.29850108128474984,False,False
environment_prison,190,198,0.6333333333333333,0.66,0.026666666666666727,0.02782218672344203,-0.9584676765970483,0.16891349158302837,False,False
environment_delight,208,216,0.6933333333333334,0.72,0.026666666666666616,0.02662218512332789,-1.0016708449412648,0.1582512961278994,False,False
environment_staghunt,196,191,0.6533333333333333,0.6366666666666667,-0.016666666666666607,0.02747658936190886,0.6065769825774598,0.2720658396724798,False,False
environment_snowdrift,186,200,0.62,0.6666666666666666,0.046666666666666634,0.0280237994093116,-1.6652512382443216,0.047931321206213115,False,True
average,215.9,213.5,0.7196666666666667,0.7116666666666667,-0.008000000000000007,0.02593238358729329,0.30849458836170995,0.3788530087245844,False,False
